,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1968-69,22.0,MMF,ABA,PF,77.0,1984.0,16.5,0.545,0.006,0.686,,,13.0,4.9,,14.3,18.1,,3.6,2.0,5.6,0.135,
1,1969-70,23.0,MMF,ABA,PF,84.0,3493.0,19.4,0.547,0.005,0.48,,,14.1,5.2,,13.5,19.0,,6.7,3.1,9.7,0.134,
2,1970-71,24.0,TOT,ABA,PF,84.0,2151.0,17.4,0.548,0.011,0.389,,,12.8,6.1,,13.5,19.0,,3.7,2.2,5.9,0.132,
3,1970-71,24.0,DNR,ABA,PF,54.0,1623.0,17.9,0.539,0.007,0.37,,,12.9,5.5,,13.2,20.0,,2.6,1.6,4.2,0.124,
4,1970-71,24.0,INA,ABA,PF,30.0,528.0,16.1,0.588,0.025,0.471,,,12.6,7.6,,14.8,15.8,,1.1,0.6,1.7,0.159,
5,1971-72,25.0,TOT,ABA,"C,PF",69.0,960.0,15.5,0.506,0.026,0.508,10.4,11.3,10.8,3.9,,10.7,20.4,,0.7,1.2,1.9,0.094,
6,1971-72,25.0,INA,ABA,C,27.0,394.0,15.4,0.532,0.007,0.343,10.6,11.4,11.0,3.6,,10.8,18.1,,0.5,0.4,0.9,0.108,
7,1971-72,25.0,MMP,ABA,PF,42.0,566.0,15.5,0.491,0.037,0.606,10.3,11.2,10.7,4.2,,10.5,22.1,,0.2,0.8,1.0,0.083,
8,Career,,,ABA,,314.0,8588.0,17.8,0.542,0.009,0.501,10.4,11.3,13.1,5.2,,13.4,19.0,,14.7,8.5,23.1,0.129,
9,,,,,,,,,,,,,,,,,,,,,,,,
10,2 seasons,,MMF,ABA,,161.0,5477.0,18.4,0.546,0.005,0.549,,,13.7,5.1,,13.8,18.7,,10.3,5.1,15.3,0.134,
11,2 seasons,,INA,ABA,,57.0,922.0,15.8,0.562,0.017,0.41,10.6,11.4,11.9,5.9,,13.0,16.8,,1.6,1.0,2.6,0.137,
12,1 season,,DNR,ABA,,54.0,1623.0,17.9,0.539,0.007,0.37,,,12.9,5.5,,13.2,20.0,,2.6,1.6,4.2,0.124,
13,1 season,,MMP,ABA,,42.0,566.0,15.5,0.491,0.037,0.606,10.3,11.2,10.7,4.2,,10.5,22.1,,0.2,0.8,1.0,0.083,
